VMM register dump (vmmdump)

CHIP ID         : VMM5310
CHIP family     : Panamera
Firmware version: 5.04.135
2209B8h: 0x00000000 (0)
220A00h: 0xA2000006 (-1577058298)
220A04h: 0x00000010 (16)
220A08h: 0x12000089 (301990025)
220A0Ch: 0x10A00438 (278922296)
220A10h: 0x07800438 (125830200)
220A14h: 0x07800960 (125831520)
220A18h: 0x019A04C0 (26870976)
220A1Ch: 0x00198249 (1671753)
220A20h: 0x0025000F (2424847)
220A24h: 0x001D0009 (1900553)
220A28h: 0x160010EC (369103084)
220A2Ch: 0x030C2000 (51126272)
220A30h: 0x060B0B33 (101387059)
220A34h: 0x0E1C2A38 (236726840)
220A38h: 0x46546269 (1179935337)
220A3Ch: 0x7077797B (1886878075)
220A40h: 0x7D7E00C2 (2105409730)
220A44h: 0x01000940 (16779584)
220A48h: 0x09BE19FC (163453436)
220A4Ch: 0x19FA19F8 (435821048)
220A50h: 0x1A381A78 (439884408)
220A54h: 0x1A762AB6 (443951798)
220A58h: 0x2AB62AF4 (716581620)
220A5Ch: 0x3AF45B34 (989092660)
220A60h: 0x00000000 (0)
220A64h: 0x00000000 (0)
220A68h: 0x04600834 (73402420)
220A6Ch: 0x0024005B (2359387)
220A70h: 0x04380780 (70780800)
220A74h: 0x4005002C (1074069548)
220A78h: 0x00000001 (1)
220A7Ch: 0x00C80001 (13107201)
220C00h: 0x50000086 (1342177414)
220C04h: 0x01000003 (16777219)
220C08h: 0x00000000 (0)
220C0Ch: 0x00000000 (0)
220C10h: 0x00000000 (0)
220C14h: 0x00000000 (0)
220C18h: 0x00000019 (25)
220C20h: 0x00000000 (0)
220C24h: 0x00000000 (0)
220C28h: 0x00000000 (0)
220C2Ch: 0x00000000 (0)
220C30h: 0x00000000 (0)
220C34h: 0x00000000 (0)
220C38h: 0x00000000 (0)
220C3Ch: 0x00000000 (0)
220C40h: 0x00000000 (0)
220C44h: 0x00000000 (0)
220C48h: 0x000000C0 (192)
220C4Ch: 0x000A0780 (657280)
220C50h: 0x8002802C (-2147319764)
220C54h: 0x00000041 (65)
220C58h: 0xFFFF0000 (-65536)
220C5Ch: 0x00000FFF (4095)
220C60h: 0x00000FFF (4095)
220C64h: 0x00000FFF (4095)
220C68h: 0x00000000 (0)
220C6Ch: 0x00000020 (32)
220C70h: 0x00001208 (4616)
220C74h: 0x00000000 (0)
220C78h: 0x00000000 (0)
220C7Ch: 0x00000000 (0)
220C80h: 0x00000000 (0)
220C84h: 0x00000021 (33)
220C88h: 0x0082285C (8530012)
